Industry,Skill Set,Skill Type
Marketing,Soft Skill,Team Player
Marketing,Programming/Technical,Database Management
Marketing,Programming/Technical,Java
Marketing,Programming/Technical,SPSS
Marketing,Programming/Technical,SAS
Marketing,Programming/Technical,STATA
Marketing,Programming/Technical,C++
Marketing,Programming/Technical,R
Marketing,Programming/Technical,Predictive Anaytics
Marketing,Soft Skill,Good Communication
Marketing,Programming/Technical,Build Machine Learning Models
Marketing,Mathematics,Build Statisical Learning Models
Marketing,Programming/Technical,Attribution Modeling
Marketing,Programming/Technical,Build Machine Learning Models
Marketing,Mathematics,Build Statisical Learning Models
Marketing,Soft Skill,Problem Solving Skills
Marketing,Soft Skill,Good Communication
Marketing,Programming/Technical,Build Machine Learning Models
Marketing,Soft Skill,Team Player
Marketing,Mathematics,Build Statisical Learning Models
Marketing,Programming/Technical,Build Quantitative Models
Marketing,Programming/Technical,Database Management
Marketing,Soft Skill,Good Communication
Marketing,Programming/Technical,R
Marketing,Programming/Technical,R
Marketing,Programming/Technical,Predictive Anaytics
Marketing,Programming/Technical,Build Quantitative Models
Marketing,Programming/Technical,SAS
Marketing,Soft Skill,Motivated
Marketing,Programming/Technical,SQL
Marketing,Mathematics,Mathematics
Marketing,Programming/Technical,Predictive Anaytics
Marketing,Programming/Technical,Hadoop
Marketing,Business,Designing Experiments
Marketing,Mathematics,MATLAB
Marketing,Programming/Technical,Python
Marketing,Programming/Technical,SQL
Marketing,Programming/Technical,SPSS
Marketing,Soft Skill,Highly Analytical
Marketing,Programming/Technical,Tableau
Marketing,Programming/Technical,Predictive Anaytics
Marketing,Programming/Technical,Python
Marketing,Programming/Technical,Build Statisical Learning Models
Marketing,Programming/Technical,Pandas
Marketing,Programming/Technical,SAS
Marketing,Programming/Technical,MongoDB
Marketing,Programming/Technical,R
Marketing,Programming/Technical,SQL
Marketing,Programming/Technical,SQL
Marketing,Programming/Technical,Build Statisical Learning Models
Marketing,Programming/Technical,Predictive Anaytics
Marketing,Programming/Technical,SQL
Marketing,Programming/Technical,Hive
Marketing,Programming/Technical,SQL
Marketing,Soft Skill,Good Communication
Marketing,Programming/Technical,SAS
Marketing,Programming/Technical,MongoDB
Marketing,Programming/Technical,SQL
Marketing,Programming/Technical,Hadoop
Marketing,Mathematics,Applied Math
Marketing,Programming/Technical,Python
Marketing,Programming/Technical,Tableau
Marketing,Programming/Technical,Python
Marketing,Business,Develop KPIs
Marketing,Programming/Technical,R 
Marketing,Programming/Technical,Hadoop
Marketing,Programming/Technical,Hadoop
Marketing,Programming/Technical,Spark
Marketing,Business,Project Management
Marketing,Mathematics,Statisical Learning Models
Marketing,Programming/Technical,Machine Learning Models
Marketing,Programming/Technical,Power BI
Marketing,Programming/Technical,Predictive Anaytics
Marketing,Business,Marketing Optimization
Marketing,Programming/Technical,Python
Marketing,Programming/Technical,Tableau
Marketing,Programming/Technical,Hive
Marketing,Programming/Technical,Hive
Marketing,Programming/Technical,Build Quantitative Models
Marketing,Programming/Technical,Python
