flight,airline,depart,arrive,capacity
23,Delta,ATL,DTW,160
24,Delta,DTW,ATL,160
27,Delta,DTW,BOS,160
28,Delta,BOS,DTW,160
35,Delta,DTW,PIT,128
36,Delta,PIT,DTW,128
37,Delta,ATL,BOS,160
38,Delta,BOS,ATL,160
43,Delta,ATL,PIT,160
44,Delta,PIT,ATL,160
45,Delta,BOS,PIT,160
46,Delta,PIT,BOS,160
101,Southwest,DTW,BOS,136
102,Southwest,BOS,DTW,136
103,Southwest,DTW,PIT,136
104,Southwest,PIT,DTW,136
1231,American,DTW,BOS,160
1232,American,DTW,PIT,160
1257,American,DTW,ATL,128
1258,American,BOS,ATL,160
1277,American,BOS,DTW,160
1278,American,PIT,DTW,160
1291,American,ATL,DTW,128
1292,American,ATL,BOS,160
