CODE,GROUP,DESC,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018
patc_us,OECD,U.S. (50 States),18.75 ,18.64 ,18.53 ,18.58 ,18.78 ,18.81 ,19.26 ,19.12 ,19.25 ,19.31 ,19.49 ,18.98 ,19.10 ,18.91 ,18.46 ,18.85 ,18.59 ,18.89 ,19.28 ,19.40 ,19.25 ,19.69 ,19.37 ,19.46 ,19.22 ,19.68 ,19.35 ,19.26 ,19.30 ,19.84 ,20.13 ,19.93 ,19.42 ,19.50 ,19.14 ,19.60 ,19.06 ,19.68 ,19.62 ,19.26 ,19.20 ,19.80 ,19.71 ,20.13 ,19.86 ,19.62 ,19.65 ,19.98 ,19.23 ,19.19 ,20.03 ,19.53 ,20.02 ,20.49 ,20.59 ,20.27 ,20.00 ,20.04 ,20.04 ,20.30 ,19.80 ,19.92 ,20.17 ,20.00 ,20.20 ,20.60 ,20.84 ,20.84 ,20.50 ,20.50 ,20.45 ,20.69 
patc_ust,OECD,U.S. Territories,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.26 ,0.26 ,0.26 ,0.26 ,0.26 ,0.26 ,0.26 ,0.26 ,0.26 ,0.26 ,0.26 ,0.26 ,0.30 ,0.30 ,0.30 ,0.30 ,0.30 ,0.30 ,0.30 ,0.30 ,0.30 ,0.30 ,0.30 ,0.30 ,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.29 ,0.29 ,0.29 ,0.29 ,0.29 ,0.29 ,0.29 ,0.29 ,0.29 ,0.29 ,0.29 ,0.29 ,0.31 ,0.31 ,0.31 ,0.31 ,0.31 ,0.31 ,0.31 ,0.31 ,0.31 ,0.31 ,0.31 ,0.31 
patc_ca,OECD,Canada,2.52 ,2.48 ,2.41 ,2.40 ,2.49 ,2.43 ,2.48 ,2.46 ,2.47 ,2.41 ,2.52 ,2.42 ,2.38 ,2.49 ,2.31 ,2.23 ,2.30 ,2.38 ,2.45 ,2.36 ,2.46 ,2.41 ,2.35 ,2.40 ,2.41 ,2.49 ,2.31 ,2.25 ,2.29 ,2.36 ,2.41 ,2.42 ,2.43 ,2.41 ,2.37 ,2.34 ,2.37 ,2.33 ,2.30 ,2.26 ,2.30 ,2.39 ,2.40 ,2.53 ,2.45 ,2.35 ,2.39 ,2.47 ,2.35 ,2.32 ,2.38 ,2.16 ,2.46 ,2.43 ,2.44 ,2.48 ,2.44 ,2.42 ,2.46 ,2.43 ,2.37 ,2.47 ,2.39 ,2.26 ,2.34 ,2.43 ,2.45 ,2.49 ,2.45 ,2.42 ,2.46 ,2.43 
patc_oecd_europe,OECD,Europe,12.82 ,13.41 ,13.12 ,14.02 ,13.79 ,13.69 ,14.22 ,13.78 ,13.87 ,14.06 ,13.57 ,13.01 ,12.67 ,13.39 ,13.32 ,13.56 ,13.25 ,13.73 ,14.10 ,13.66 ,14.14 ,14.03 ,13.14 ,13.48 ,13.08 ,13.97 ,13.57 ,13.78 ,13.16 ,14.08 ,14.28 ,14.06 ,14.52 ,13.98 ,13.57 ,13.95 ,12.94 ,13.98 ,13.97 ,14.04 ,13.70 ,14.04 ,14.13 ,14.62 ,14.60 ,14.34 ,14.12 ,14.12 ,13.53 ,13.93 ,14.15 ,13.86 ,14.20 ,14.43 ,14.60 ,14.35 ,14.85 ,14.57 ,14.24 ,13.91 ,13.68 ,14.42 ,14.17 ,14.13 ,13.89 ,14.40 ,14.53 ,14.23 ,14.87 ,14.60 ,14.28 ,13.96 
patc_ja,OECD,Japan,5.08 ,5.19 ,4.68 ,4.32 ,4.06 ,3.86 ,4.34 ,4.35 ,4.08 ,4.14 ,4.78 ,5.19 ,5.00 ,5.24 ,4.83 ,3.99 ,3.73 ,3.71 ,3.86 ,3.84 ,3.73 ,3.89 ,4.23 ,4.98 ,4.52 ,5.03 ,4.51 ,4.16 ,3.60 ,3.68 ,3.80 ,3.92 ,3.86 ,3.84 ,3.98 ,4.62 ,4.35 ,4.63 ,4.36 ,3.97 ,3.58 ,3.56 ,3.78 ,3.86 ,3.72 ,3.78 ,4.16 ,4.60 ,4.18 ,4.56 ,4.28 ,3.82 ,3.54 ,3.39 ,3.57 ,3.68 ,3.58 ,3.59 ,3.90 ,4.46 ,4.16 ,4.40 ,4.03 ,3.62 ,3.34 ,3.32 ,3.49 ,3.60 ,3.50 ,3.51 ,3.82 ,4.40 
patc_other_oecd,OECD,Other OECD,6.37 ,6.48 ,6.04 ,6.30 ,6.23 ,6.34 ,6.26 ,6.34 ,5.96 ,6.21 ,6.34 ,6.41 ,6.11 ,6.29 ,6.19 ,6.17 ,6.19 ,6.14 ,6.22 ,6.11 ,6.07 ,6.10 ,6.17 ,6.44 ,6.20 ,6.42 ,6.24 ,6.17 ,5.99 ,6.17 ,6.28 ,6.30 ,6.26 ,6.28 ,6.40 ,6.64 ,6.45 ,6.71 ,6.41 ,6.32 ,6.34 ,6.41 ,6.24 ,6.55 ,6.41 ,6.26 ,6.63 ,6.81 ,6.33 ,6.68 ,6.56 ,6.29 ,6.50 ,6.43 ,6.38 ,6.45 ,6.32 ,6.34 ,6.54 ,6.72 ,6.52 ,6.71 ,6.52 ,6.39 ,6.43 ,6.53 ,6.49 ,6.56 ,6.43 ,6.45 ,6.65 ,6.84 
patc_fsu,Non-OECD,Eurasia,4.16 ,4.42 ,4.34 ,4.19 ,4.43 ,4.71 ,4.75 ,4.86 ,4.81 ,4.83 ,4.82 ,4.85 ,4.45 ,4.69 ,4.60 ,4.47 ,4.90 ,5.01 ,4.97 ,5.14 ,5.07 ,4.94 ,4.97 ,4.98 ,4.48 ,4.56 ,4.26 ,4.56 ,4.67 ,4.81 ,4.88 ,4.95 ,4.68 ,4.71 ,4.75 ,4.81 ,4.59 ,4.81 ,4.64 ,4.44 ,4.49 ,4.72 ,4.90 ,5.03 ,4.80 ,4.83 ,4.89 ,4.97 ,4.80 ,4.78 ,4.61 ,4.52 ,4.71 ,4.91 ,4.97 ,5.07 ,4.89 ,4.81 ,4.87 ,4.89 ,4.72 ,4.87 ,4.70 ,4.61 ,4.80 ,5.00 ,5.07 ,5.17 ,4.99 ,4.91 ,4.97 ,4.99 
patc_nonoecd_europe,Non-OECD,Europe,0.62 ,0.64 ,0.62 ,0.68 ,0.68 ,0.68 ,0.70 ,0.70 ,0.69 ,0.70 ,0.69 ,0.67 ,0.66 ,0.67 ,0.67 ,0.68 ,0.70 ,0.69 ,0.70 ,0.70 ,0.70 ,0.70 ,0.68 ,0.68 ,0.62 ,0.63 ,0.66 ,0.66 ,0.68 ,0.68 ,0.70 ,0.71 ,0.69 ,0.69 ,0.68 ,0.67 ,0.69 ,0.70 ,0.70 ,0.69 ,0.69 ,0.71 ,0.71 ,0.72 ,0.72 ,0.73 ,0.71 ,0.71 ,0.70 ,0.70 ,0.70 ,0.70 ,0.70 ,0.72 ,0.72 ,0.73 ,0.73 ,0.73 ,0.72 ,0.72 ,0.71 ,0.71 ,0.71 ,0.71 ,0.71 ,0.73 ,0.73 ,0.74 ,0.74 ,0.74 ,0.73 ,0.73 
patc_ch,Non-OECD,China,10.88 ,11.67 ,10.38 ,10.91 ,10.82 ,11.35 ,11.30 ,10.86 ,11.02 ,11.06 ,11.33 ,11.50 ,11.55 ,11.19 ,11.25 ,11.50 ,11.19 ,11.65 ,10.94 ,11.15 ,11.80 ,11.78 ,11.90 ,12.01 ,11.36 ,12.06 ,12.01 ,12.25 ,11.92 ,12.03 ,11.78 ,12.29 ,12.09 ,12.33 ,11.97 ,12.16 ,12.09 ,12.46 ,12.33 ,12.90 ,12.31 ,12.74 ,12.08 ,12.59 ,12.26 ,12.59 ,12.62 ,12.45 ,12.82 ,13.24 ,12.81 ,13.11 ,12.77 ,12.95 ,12.60 ,12.56 ,12.69 ,12.54 ,12.75 ,12.75 ,13.37 ,13.57 ,13.12 ,13.43 ,13.09 ,13.27 ,12.91 ,12.87 ,13.01 ,12.85 ,13.06 ,13.06 
patc_other_asia,Non-OECD,Other Asia,11.48 ,11.63 ,11.71 ,11.57 ,11.62 ,11.52 ,11.35 ,11.38 ,11.34 ,11.66 ,11.77 ,11.69 ,11.57 ,11.92 ,11.91 ,11.79 ,12.15 ,11.97 ,11.57 ,11.50 ,11.67 ,11.59 ,12.02 ,11.93 ,12.11 ,12.82 ,12.38 ,12.52 ,12.52 ,12.61 ,12.23 ,12.19 ,12.65 ,12.64 ,12.66 ,13.09 ,12.62 ,13.00 ,12.98 ,13.10 ,13.04 ,13.03 ,12.49 ,12.88 ,12.50 ,13.10 ,13.17 ,12.98 ,12.84 ,13.11 ,13.09 ,13.44 ,13.49 ,13.33 ,12.76 ,13.02 ,13.03 ,13.39 ,13.57 ,13.50 ,13.40 ,13.78 ,13.76 ,13.93 ,13.96 ,13.87 ,13.45 ,13.41 ,13.37 ,13.66 ,13.84 ,13.77 
